,Time,CO2_sillburp,CO2_silli
0,0.0,725848.7495463616,658361.9568676394
1,253.67833587011668,15366.755397457628,13359.577493541954
2,507.35667174023337,8324.589054109281,7532.771838399527
3,761.03500761035,5645.55990938962,5215.314262675885
4,1014.7133434804667,4248.659385184371,3972.7688457282065
5,1268.3916793505834,3398.010630100158,3199.6361089595166
6,1522.0700152207,2828.7264080769746,2672.2792002815577
7,1775.7483510908169,2422.325404756695,2289.5572527892487
8,2029.4266869609335,2118.141541242164,1999.2754904455724
9,2283.10502283105,1882.073683520573,1771.7787129875273
10,2536.783358701167,1693.5754443319388,1588.9306757478103
11,2790.4616945712837,1539.5747098784746,1438.981793431019
12,3044.1400304414,1411.3779594785792,1313.964209588217
13,3297.818366311517,1302.9860956896352,1208.2731606555612
14,3551.4967021816337,1210.1278422687537,1117.8474756802684
15,3805.17503805175,1129.6796739153187,1039.6719618511281
16,4058.853373921867,1059.3041603628594,971.4621577054792
17,4312.531709791983,997.2168500820023,911.4572820797067
18,4566.2100456621,942.0315250886342,858.2800028422691
19,4819.888381532217,892.6547592788122,810.8389409398059
20,5073.566717402334,848.2123755466472,768.2593507084177
21,5327.245053272451,807.9970690885992,729.8328751881818
22,5580.923389142567,771.4303998802518,694.9805151547988
23,5834.601725012683,738.0347439927452,663.2249364778869
24,6088.2800608828,707.4122778651051,634.1694932276534
25,6341.958396752917,679.2290146612695,607.4821550359745
26,6595.636732623034,653.2025264837382,582.8830646440236
27,6849.315068493151,629.0923939698534,560.134815131988
28,7102.9934043632675,606.6927002806572,539.034786860501
29,7356.671740233383,585.8260757783728,519.4090596672468
30,7610.3500761035,566.338931776916,501.1075406443238
31,7864.028411973617,548.0976152638207,484.00003771107015
32,8117.706747843734,530.985283574422,467.97307472226686
33,8371.38508371385,514.8993467212549,452.9272921302353
34,8625.063419583967,499.74936087127105,438.775313140062
35,8878.741755454084,485.4552830375414,425.4399822601344
36,9132.4200913242,471.9460169783364,412.852903558377
37,9386.098427194318,459.158195378967,400.9532214989577
38,9639.776763064434,447.03515490652086,389.6865991879525
39,9893.45509893455,435.5260695923205,379.0043581015989
40,10147.133434804668,424.58521487341216,368.86275056278487
41,10400.811770674783,414.1713399966725,359.22234186251194
42,10654.490106544901,404.24713071716155,350.04748335623805
43,10908.168442415017,394.7787475695345,341.30586137353544
44,11161.846778285135,385.73542765652513,332.9681095715486
45,11415.52511415525,377.0891400372574,325.0074745952681
46,11669.203450025367,368.81428651680676,317.39952670149444
47,11922.881785895484,360.88744103407504,310.1219084511445
48,12176.5601217656,353.2871219771042,303.15411574864
49,12430.238457635718,345.99359268265596,296.4773064627783
50,12683.916793505834,338.9886861378212,290.0741326445291
51,12937.595129375952,332.2556505265785,283.9285929994086
52,13191.273465246068,325.7790127857631,278.02590279999606
53,13444.951801116184,319.54445776325616,272.35237886032854
54,13698.630136986301,313.5387209316678,266.8953375588778
55,13952.308472856417,307.74949291104,261.64300419590325
56,14205.986808726535,302.16533430528983,256.5844322256575
57,14459.66514459665,296.77559957002734,251.7094311142801
58,14713.343480466767,291.5703688079972,247.00850175182862
59,14967.021816336885,286.5403865393996,242.47277849810752
60,15220.700152207,281.6770066244504,238.09397706725443
61,15474.378488077118,276.97214262279977,233.86434756456325
62,15728.056823947234,272.41822297030006,229.7766320804986
63,15981.735159817352,268.00815043138084,225.8240263243916
64,16235.413495687468,263.73526535546665,222.0001448473316
65,16489.091831557584,259.5933123238669,218.29898946115514
66,16742.7701674277,255.5764098246231,214.7149205086805
67,16996.44850329782,251.67902263688939,211.24263068431068
68,17250.126839167933,247.89593664410887,207.87712113824568
69,17503.80517503805,244.22223582838254,204.61367963179114
70,17757.48351090817,240.65328122670923,201.44786053657563
71,18011.161846778283,237.184691655809,198.37546649525922
72,18264.8401826484,233.81232603206269,195.39253158223366
73,18518.51851851852,230.53226713469428,192.49530582010297
74,18772.196854388636,227.34080667451428,189.68024092443233
75,19025.87519025875,224.2344315473859,186.94397716255762
76,19279.553526128868,221.20981116269584,184.2833312247322
77,19533.231861998986,218.2637857501518,181.69528501630293
78,19786.9101978691,215.39335555633207,179.17697528948946
79,20040.588533739217,212.5956708538657,176.72568404133852
80,20294.266869609335,209.8680226911124,174.3388296118256
81,20547.945205479453,207.20783431960885,172.0139584226755
82,20801.623541349567,204.61265324154803,169.74873730353633
83,21055.301877219685,202.08014382516257,167.54094635679166
84,21308.980213089802,199.60808044135234,165.38847231726763
85,21562.658548959917,197.19434107875776,163.28930236716815
86,21816.336884830034,194.8369013987421,161.24151836999718
87,22070.015220700152,192.53382919529992,159.24329149080822
88,22323.69355657027,190.2832792277184,157.2928771730088
89,22577.371892440384,188.08348839738542,155.3886104442337
90,22831.0502283105,185.9327712418126,153.52890152692194
91,23084.72856418062,183.8295157219693,151.71223173017862
92,23338.406900050733,181.77217928082655,149.93714960334947
93,23592.08523592085,179.75928515295408,148.20226733083237
94,23845.76357179097,177.78941890650248,146.50625735211278
95,24099.441907661087,175.86122520086116,144.84784918990454
96,24353.1202435312,173.97340474430132,143.22582647253296
97,24606.79857940132,172.1247114375116,141.63902413652846
98,24860.476915271436,170.31394968964184,140.0863257969953
99,25114.15525114155,168.5399718949546,138.56666127488808
100,25367.833587011668,166.80167605924123,137.07900426950545
101,25621.511922881786,165.09800356498317,135.62237016775538
102,25875.190258751903,163.4279370669046,134.19581397973613
103,26128.868594622018,161.79049850818953,132.79842839377392
104,26382.546930492135,160.1847472499227,131.42934194170306
105,26636.225266362253,158.6097783061993,130.0877172685105
